year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2014,Oregon,Brigham Young,69.9,22.92,73.5,16.59,1,1,1,,
2014,Wisconsin,American,63.3,30.54,60.7,2.11,1,1,1,,
2014,Wichita State,Cal Poly,64.5,25.87,60.8,-1.25,1,1,1,,
2014,Kentucky,Kansas State,65.9,26.93,65.6,18.61,1,1,1,,
2014,Saint Louis,NC State,67.4,17.27,64.9,14.11,1,1,1,,
2014,Louisville,Manhattan,69,36.14,70.3,8.67,1,1,1,,
2014,Massachusetts,Tennessee,71.7,15.77,62.8,27.14,0,1,1,,
2014,Duke,Mercer,65.5,29.73,65.8,9.02,0,1,1,,
2014,Texas,Arizona State,69.1,18.37,69,19.68,1,1,1,,
2014,Michigan,Wofford,62.5,28.66,63.1,-5.66,1,1,1,,
2014,Florida,Pittsburgh,62.7,31.98,62.5,26.6,1,1,1,,
2014,Stephen F. Austin,UCLA,65.5,8.17,70,26.58,0,1,1,,
2014,Dayton,Syracuse,65.4,16.25,60.5,25.32,1,1,1,,
2014,Stanford,Kansas,67.1,19.95,68.6,29.81,1,1,1,,
2014,Virginia,Memphis,60.6,29.08,70.6,18.91,1,1,1,,
2014,Harvard,Michigan State,64.6,17.41,66,28.66,0,1,1,,
2014,North Carolina,Iowa State,70,22.39,71.7,26.59,0,1,1,,
2014,Connecticut,Villanova,65.5,25.53,67.6,27.98,1,1,1,,
2014,Arizona,Gonzaga,64.1,35.45,67.2,23.2,1,1,1,,
2014,North Dakota State,San Diego State,63.9,10.33,63.9,22.99,0,1,1,,
2014,Baylor,Creighton,64.2,23.72,65.3,26.82,1,1,1,,
2014,Oregon,Wisconsin,69.9,22.92,63.3,30.54,0,1,1,,
2014,Wichita State,Kentucky,64.5,25.87,65.9,26.93,0,1,1,,
2014,Saint Louis,Louisville,67.4,17.27,69,36.14,0,1,1,,
2014,Tennessee,Mercer,62.8,27.14,65.8,9.02,1,1,1,,
2014,Texas,Michigan,69.1,18.37,62.5,28.66,0,1,1,,
2014,Florida,UCLA,62.7,31.98,70,26.58,1,1,1,,
2014,Dayton,Stanford,65.4,16.25,67.1,19.95,1,1,1,,
2014,Virginia,Michigan State,60.6,29.08,66,28.66,0,1,1,,
2014,Iowa State,Connecticut,71.7,26.59,65.5,25.53,0,1,1,,
2014,Arizona,San Diego State,64.1,35.45,63.9,22.99,1,1,1,,
2014,Baylor,Wisconsin,64.2,23.72,63.3,30.54,0,1,1,,
2014,Kentucky,Louisville,65.9,26.93,69,36.14,1,1,1,,
2014,Tennessee,Michigan,62.8,27.14,62.5,28.66,0,1,1,,
2014,Florida,Dayton,62.7,31.98,65.4,16.25,1,1,1,,
2014,Michigan State,Connecticut,66,28.66,65.5,25.53,0,1,1,,
2014,Arizona,Wisconsin,64.1,35.45,63.3,30.54,0,1,1,,
2014,Kentucky,Michigan,65.9,26.93,62.5,28.66,1,1,1,,
2014,Florida,Connecticut,62.7,31.98,65.5,25.53,0,1,1,,
2014,Wisconsin,Kentucky,63.3,30.54,65.9,26.93,0,1,1,,
2014,Connecticut,Kentucky,65.5,25.53,65.9,26.93,1,1,1,,
2015,Kentucky,Hampton,63.7,43.93,69.5,-11.59,1,1,1,,
2015,Cincinnati,Purdue,59.6,17.94,65,20,1,1,1,,
2015,West Virginia,Buffalo,68.7,22.65,68.7,12.22,1,1,1,,
2015,Maryland,Valparaiso,64.7,20.58,63.8,10.73,1,1,1,,
2015,Butler,Texas,64.2,25.56,62.9,25.11,1,1,1,,
